search_term,position_first_amazon,position_first_non_amazon,position_first_wholly_non_amazon,amazon_stars,amazon_reviews,non_amazon_stars,non_amazon_reviews,wnon_amazon_stars,wnon_amazon_reviews
nerf guns for boys,5.0,2,38.0,4.6,18055,4.7,1891,4.6,12
nerf rival,45.0,1,4.0,4.4,5128,4.6,2549,4.4,53
neutrogena hydro boost,17.0,1,21.0,4.3,122,4.6,49855,4.5,14
newborn diapers,11.0,5,42.0,4.3,18361,4.8,61364,4.5,246
nf hoodie,55.0,2,4.0,4.6,15213,4.5,517,5.0,1
nfl,13.0,1,38.0,4.6,20073,2.1,47,4.8,206
nfl face mask,35.0,2,4.0,4.5,540,,,4.7,248
nintendo switch games,5.0,1,,3.3,26,4.8,31324,,
nj devils,42.0,1,24.0,4.5,18620,4.7,128,4.2,3
njoy vape,14.0,1,10.0,4.6,12672,3.7,12,3.0,1149
nk95 face mask,1.0,5,13.0,4.2,601,4.6,114,4.5,468
nnpcbt,39.0,5,6.0,4.5,18620,4.7,595,4.7,1030
nnpcbt black disposable mask,37.0,5,9.0,4.5,6806,4.6,8178,4.6,625
no boundaries jeans,46.0,1,9.0,4.1,1869,4.3,42780,3.9,8
no boundaries leggings,14.0,2,4.0,4.4,1603,4.6,3,4.6,14
no boundaries tops,11.0,1,5.0,4.6,15212,4.1,5262,4.4,56
no show socks for women,30.0,5,,4.6,5015,4.8,16063,,
no touch thermometer,22.0,5,,4.4,10143,4.4,22979,,
non contact thermometer,15.0,5,50.0,4.4,10144,4.6,33123,3.7,79
noodles,14.0,2,6.0,4.7,383,4.5,14288,4.6,4687
northern toilet paper,10.0,1,7.0,4.7,61477,4.8,3055,4.5,1900
nose rings,17.0,5,,3.5,4,4.2,2357,,
nose rings for women,,2,,,,4.2,2357,,
note 10 plus case,17.0,5,,4.4,84,4.1,1584,,
note 20 ultra case,17.0,5,,4.5,7206,4.2,817,,
note pads,3.0,2,,4.7,27421,4.6,1737,,
notebooks college ruled,1.0,3,50.0,4.7,1081,4.8,19889,,
notebooks for school,13.0,1,,4.7,9978,4.8,2340,,
noxema,13.0,2,4.0,4.4,294,4.4,2199,3.9,1317
npet,41.0,2,,4.2,9124,4.4,2205,,
nqd remote control monster truck,,5,13.0,,,4.4,575,4.2,306
nrfgus,2.0,1,,4.7,1878,4.8,1286,,
nsf knife chef,,5,8.0,,,4.7,3613,4.6,3
nsf shelving,6.0,5,7.0,4.7,18770,4.8,3698,4.6,2310
nsf wire shelf,1.0,3,4.0,4.7,18775,4.7,481,4.8,1428
nsfw games,53.0,5,,4.5,3230,4.7,13741,,
nsqtba,5.0,42,42.0,4.3,6235,4.1,365,4.1,365
ntg3,33.0,2,2.0,4.7,16827,4.6,1109,4.6,1109
nudges dog treats,43.0,5,14.0,4.6,4892,4.7,10860,4.9,32
nuk sippy cup,14.0,2,24.0,4.4,303,4.7,10426,4.7,251
nurse gifts,14.0,2,23.0,4.2,1173,4.8,71,3.9,1244
nurse gifts for women,1.0,3,36.0,4.1,75,4.8,2830,3.9,1244
nursery bedding,5.0,1,18.0,4.7,5749,4.9,7674,4.8,290
nursery bedding & mattresses,12.0,1,21.0,4.8,6034,4.6,50,4.8,238
nursing tops,37.0,5,12.0,4.4,12819,4.5,4244,4.5,3013
nutcracker,14.0,2,12.0,4.7,15842,4.7,295,4.6,54
nutella,41.0,3,12.0,4.7,1081,4.9,12030,4.8,582
nutritional yeast,23.0,5,7.0,4.6,488,4.7,12417,4.7,253
nuts,13.0,2,19.0,4.3,2269,4.7,704,4.6,215
nvidia shield,7.0,1,16.0,4.7,494179,4.5,2983,4.8,267
nvidia shield tv,11.0,1,12.0,4.7,494179,4.6,2238,3.6,156
nwa hoodie,35.0,1,1.0,4.7,142,,,,
nxn,40.0,5,6.0,3.9,109,4.1,1411,4.3,103
nxt action figures,42.0,1,6.0,4.7,1135,4.7,112,4.6,80
nxtstop travleisure face mask,16.0,4,6.0,4.1,8643,4.2,3323,3.8,27
nyquil,4.0,2,9.0,4.7,1728,4.8,3355,4.5,41
nyquil severe cold and flu,15.0,5,9.0,4.5,659,4.8,3355,5.0,3
oakley sunglasses for women,17.0,1,2.0,4.3,49,4.7,104,4.3,176
oasis,2.0,1,,4.6,1473,4.6,12490,,
oat milk,7.0,5,22.0,4.7,1216,4.6,5209,4.6,2411
oatmeal,12.0,5,46.0,4.6,2113,4.6,6155,4.5,142
oatmeal bath,34.0,1,7.0,4.8,706,4.8,3124,4.8,193
oatmeal cookies,3.0,4,4.0,4.5,525,4.6,15748,4.6,15748
oatmeal cups,29.0,5,15.0,4.5,165,4.7,1813,4.5,403
oats,8.0,5,26.0,4.6,2113,4.8,2640,4.6,94
oblong throw pillows,50.0,2,37.0,4.6,3154,4.7,12116,4.5,2651
ocean spray cranberry juice,30.0,1,3.0,4.7,1013,4.8,11778,4.7,64
oculus quest 2,11.0,3,6.0,4.6,36004,4.8,17005,4.7,128
odd gifts,13.0,1,12.0,4.7,8513,4.7,600,4.5,3135
oddbods,58.0,5,12.0,4.6,326,4.5,9,4.5,104
ododos high waist tummy control yoga pants,1.0,4,37.0,4.2,883,4.4,21888,4.5,5804
odor eaters,42.0,2,6.0,4.2,458,4.7,2566,4.6,880
oem keycaps,,1,,,,4.3,45,,
ofertas de hoy en amazon,7.0,1,1.0,4.6,135769,3.8,1899,3.8,1899
off the shoulder sweaters for women,38.0,5,11.0,4.3,2193,3.9,8170,3.6,555
office,13.0,4,,4.6,97416,4.8,1444,,
office chair,14.0,5,5.0,4.4,16134,4.1,21194,4.1,21194
office chair mat,1.0,5,42.0,4.6,1418,4.1,25318,4.4,4906
office chair mat for carpet,1.0,5,39.0,4.5,3330,3.9,950,4.4,4906
office chairs clearance,13.0,5,5.0,4.4,16134,4.1,21194,4.1,21194
office decor,13.0,1,36.0,4.6,275632,4.3,492,,
office organization,19.0,2,7.0,4.7,1587,4.6,1737,4.7,37
office organizer,13.0,1,48.0,4.8,378,4.7,15503,4.7,2401
office supplies,9.0,1,5.0,4.7,24507,3.9,44666,4.7,303
office supplies and organizers,33.0,2,27.0,4.7,24095,4.7,15503,4.7,2401
office supplies for women,29.0,1,40.0,4.7,27421,4.6,1737,4.7,37
ohs cereal,21.0,2,2.0,4.5,626,4.9,176,4.9,176
ohuhu markers,,5,,,,4.8,6930,,
ohuhu markers brush tip,,5,,,,4.8,1432,,
oil,1.0,3,,4.8,4114,4.8,12256,,
oil dispenser,14.0,2,51.0,4.4,169,4.8,5163,4.8,115
oil heater,18.0,1,9.0,4.1,297,4.4,5243,4.4,671
oj juice,3.0,2,41.0,4.7,10866,4.8,11588,4.6,162
ok boomer game,16.0,3,3.0,4.6,935,4.5,38,4.5,38
ok to wake clock,17.0,5,8.0,4.5,10106,4.2,5106,4.5,9815
oklahoma joes grill accessories,7.0,3,15.0,4.6,7612,4.5,135,4.7,2459
okra,1.0,2,5.0,4.6,1395,4.5,153,4.6,59
ol roy dog food,6.0,1,1.0,4.2,2778,4.5,104,4.5,104
olaf,9.0,2,46.0,4.6,990,4.8,168,4.8,38
old bay seasoning,50.0,5,9.0,4.5,245,4.9,9270,4.9,51
olive oil,10.0,5,27.0,4.8,6706,4.8,10587,4.7,1426
omega 3,1.0,5,30.0,4.6,1588,4.7,12706,4.8,224
omeprazole,1.0,5,24.0,4.8,16307,4.8,2864,4.8,761
"omeprazole 20 mg., 42 tablets",2.0,1,11.0,4.8,16307,4.8,3132,5.0,2
omg,34.0,2,24.0,4.7,14364,4.8,2266,4.8,4006
omg dolls,,1,22.0,,,4.8,8030,4.8,4006
omg l.o.l. surprise! dolls,14.0,1,1.0,4.7,14364,4.8,4173,4.8,4173
omg lol surprise dolls,41.0,1,12.0,4.7,14364,4.8,2266,4.8,4006
omg remix dolls,41.0,1,31.0,4.7,14364,4.8,1023,4.7,199
one direction,13.0,1,37.0,4.6,437,4.8,3930,4.8,862
onesie pajamas for women,38.0,2,5.0,4.4,358,4.5,893,4.5,544
onesies,1.0,3,,4.7,1517,4.8,11208,,
onesies for christmas,40.0,1,1.0,4.8,6396,4.7,800,4.7,800
onesies women,1.0,2,5.0,4.2,452,4.3,953,,
onion powder,6.0,2,4.0,4.7,1198,4.8,475,4.8,5880
oodie,1.0,5,5.0,4.5,323,4.9,51,4.9,51
oofos mens,18.0,5,9.0,4.3,14,4.5,10317,,
oolong tea,12.0,5,7.0,4.5,181,4.5,371,4.6,1366
oolong tea bags,14.0,5,7.0,4.5,181,4.5,39,4.6,1366
oonies,18.0,1,,4.7,4826,4.7,5155,,
opal ring,45.0,2,5.0,4.6,3415,3.9,682,,
operation,1.0,2,7.0,4.7,6393,4.6,2238,4.2,513
operation board game,1.0,2,13.0,4.7,6393,4.6,2238,4.2,513
operation game,1.0,2,8.0,4.7,6393,4.6,2238,,
operation pet scan,4.0,2,14.0,4.5,1339,4.6,2238,4.3,2496
optical audio cable,10.0,3,18.0,4.7,5797,4.7,7900,4.7,14762
optimus prime,3.0,2,19.0,4.6,2183,5.0,7,4.2,137
orange juice,5.0,3,12.0,4.7,10866,4.8,11588,4.7,55
orders placed,24.0,1,37.0,4.5,54182,4.3,880,4.2,8897
oreo,18.0,2,4.0,4.4,2885,4.7,4408,,
oreos,43.0,2,6.0,4.4,2885,4.7,4408,4.2,6
oreos cookies,24.0,3,6.0,4.4,2885,4.8,4042,,
organization and storage,38.0,1,33.0,4.7,36549,4.8,4188,4.8,869
organizer,13.0,1,44.0,4.6,3223,4.7,15503,4.4,23390
oscillating fan,3.0,4,51.0,4.6,10578,4.2,4759,4.0,167
oscillating tool,54.0,5,10.0,4.7,43,4.9,538,4.8,1322
osmo,8.0,5,45.0,4.8,828,4.8,2774,3.9,6
osmo coding,13.0,5,,4.8,878,4.8,686,,
osmo for fire tablets,5.0,7,,4.7,1047,4.5,549,,
osmo games,7.0,5,,4.8,777,4.8,2774,,
osmo little genius starter kit,7.0,5,,4.7,1047,4.7,3336,,
oster toaster oven,16.0,3,,4.3,1704,4.6,7789,,
otterbox iphone xr,,3,25.0,,,4.8,16170,4.8,1802
ottoman,1.0,2,42.0,4.7,1306,4.8,2418,4.7,3097
ottoman with storage,1.0,3,10.0,4.7,1306,4.5,4935,4.7,3097
outdoor christmas lights,40.0,3,,3.9,123,4.5,755,,
outdoor cushions,3.0,2,25.0,3.8,251,4.4,505,4.5,583
outdoor extension cord,1.0,5,,4.8,22229,4.8,13313,,
outdoor furniture,8.0,5,5.0,4.1,187,4.2,1608,4.2,1608
outdoor furniture on clearance,10.0,5,5.0,3.7,148,4.1,87,4.1,87
outdoor heater,7.0,5,5.0,4.4,3945,4.4,1442,4.4,1442
outdoor pillows,53.0,3,,4.6,572,4.7,6888,,
outdoor security camera,3.0,4,,4.5,21297,4.9,143,,
outdoor string lights,1.0,4,46.0,4.8,111,4.8,9219,4.8,35
outdoor timer,43.0,5,,4.6,779,4.6,7559,,
outdoor toys,24.0,2,47.0,4.8,20361,3.9,44666,4.4,64
outdoor toys for toddlers age 3-5,9.0,2,51.0,4.8,20361,4.3,4376,4.7,1515
outside christmas decorations,13.0,1,2.0,4.7,147,4.2,338,3.7,1080
outside toys for kids ages 4-8,42.0,2,,4.8,20361,4.6,625,,
over the door hooks,43.0,3,,4.5,4788,4.7,4278,,
over the sink dish drying rack,37.0,5,31.0,4.5,7,4.5,3694,3.0,2
over-ear headphones,1.0,3,,4.3,504,4.4,4808,,
overnight diapers,34.0,5,9.0,4.3,18362,4.8,23496,4.5,6137
overnight pads,21.0,5,15.0,4.4,3285,4.5,12150,4.7,1340
oversized sweaters for women,16.0,2,4.0,4.3,687,3.9,8170,4.3,3414
overwatch,,2,41.0,,,4.9,1695,4.7,440
ow-20 full synthetic oil,1.0,5,12.0,4.8,8392,4.8,5556,4.8,386
owl,1.0,3,7.0,4.7,12153,5.0,1,4.2,651
owl gifts,1.0,4,28.0,4.8,29404,4.5,2085,4.7,619
owl gifts for women,1.0,3,23.0,4.1,75,4.5,2085,4.7,619
owleez,9.0,1,4.0,4.7,1047,4.3,1961,4.3,42
owlette,9.0,1,3.0,4.8,1922,4.8,543,4.8,2314
oxi clean,41.0,2,5.0,4.6,314,4.8,8296,4.7,1052
oxi clean stain remover,44.0,1,1.0,4.6,314,4.7,1052,4.7,1052
oxiclean,42.0,2,8.0,4.6,314,4.8,8296,4.9,44
oxiclean laundry,28.0,1,5.0,4.6,314,4.8,8296,4.7,1052
oxyclean,45.0,2,11.0,4.6,314,4.8,8296,4.4,86
oxyclean laundry,28.0,1,5.0,4.6,314,4.8,8296,4.7,1052
oyster crackers,12.0,2,18.0,4.6,2174,4.6,491,4.7,169
oyster crackers for soup,24.0,4,22.0,4.6,2174,4.6,491,4.4,256
oyster sauce,32.0,1,1.0,4.5,820,4.7,1381,4.7,1381
oyster shucking knife,17.0,5,41.0,4.5,410,4.5,1451,4.5,57
ozark trail,1.0,2,2.0,4.3,245,4.7,109,4.7,109
ozark trail 20 oz tumbler,10.0,1,1.0,4.3,245,4.6,905,4.6,905
ozark trail cooler,13.0,1,3.0,4.7,953,4.3,64,4.3,18
ozark trail tumbler,17.0,1,2.0,4.7,64,4.6,123,4.6,756
ozark tumbler,49.0,1,2.0,4.3,245,4.7,7360,4.6,756
ozium air sanitizer,,5,12.0,,,4.7,686,4.7,185
ozonics,46.0,3,10.0,4.7,235952,4.5,49,4.5,85
pacifier clip,25.0,2,48.0,4.7,1901,4.7,3148,5.0,11
pack and play,37.0,2,12.0,4.7,360,4.8,8815,4.9,12
pack n play,45.0,5,13.0,4.7,360,4.8,22513,4.9,12
packing cubes,1.0,7,41.0,4.7,8272,4.8,6016,4.8,1127
packing tape,25.0,5,57.0,4.3,210,4.8,7297,4.5,100
pads,40.0,5,,4.3,6353,4.7,2927,,
pajamas for women,13.0,2,28.0,4.6,1188,4.5,2439,4.6,759
pampers,17.0,5,40.0,4.3,18362,4.8,61365,4.8,179
pancake mix,6.0,2,4.0,3.9,229,4.5,4645,4.9,775
panties for women,9.0,5,6.0,4.6,47617,4.5,21154,,
pantry,1.0,3,29.0,4.5,1675,4.6,11107,4.5,749
pantry items in prime pantry,42.0,2,,4.7,4401,4.8,36734,,
pantry organization and storage,1.0,5,18.0,4.6,1091,4.8,4188,4.8,869
paper,1.0,4,15.0,4.8,37982,4.8,20591,4.8,19779
paper & printable media,3.0,1,,4.8,37982,4.8,74669,,
paper clips,12.0,5,47.0,4.8,2396,4.7,491,4.7,784
paper cutter,15.0,5,26.0,4.6,2421,4.6,8929,4.7,2394
paper napkins,10.0,2,5.0,4.7,664,4.8,2747,4.7,593
paper plates,39.0,5,21.0,4.4,27,4.8,33405,4.8,1329
paper shredder,1.0,5,15.0,4.6,97416,4.5,5235,4.7,66
paper towels,1.0,3,8.0,4.7,49845,4.9,38038,4.9,24524
papermate flair pens,15.0,3,44.0,4.7,4542,4.8,31497,,
parmesan cheese,2.0,1,5.0,4.7,5974,4.9,44,4.7,718
pasta,4.0,1,24.0,4.7,2276,4.8,4792,4.1,1561
pasta noodles,10.0,2,33.0,4.7,2276,4.8,4792,4.5,480
pasta sauce,4.0,8,11.0,4.6,4850,4.5,144,4.1,92
patio furniture,16.0,5,7.0,4.1,187,1.7,15,4.3,720
patio heater,6.0,5,5.0,4.4,3945,4.4,1442,4.4,1442
patio umbrella,9.0,5,11.0,4.2,973,4.5,7060,4.6,136
paw patrol dino rescue,23.0,2,12.0,4.8,2199,4.7,2374,4.5,27
paw patrol toys,12.0,2,45.0,4.9,2524,4.8,3061,4.7,5314
pb fit,33.0,5,7.0,4.5,2971,4.8,16003,5.0,3
pbs kids tablet,1.0,4,5.0,4.7,54244,3.2,22,3.6,67
pbs kids tablets,1.0,3,4.0,4.6,135765,3.2,22,3.6,67
pbs kids toys,46.0,2,4.0,4.6,135765,4.4,659,3.9,82
pc games,5.0,1,,4.6,21977,4.1,870,,
pc speakers,1.0,3,,4.5,20645,4.6,35377,,
pd charger,1.0,3,,4.6,10,4.7,143,,
pdp gaming headset,,1,,,,4.4,5394,,
pdp switch case,19.0,2,,4.7,4788,4.8,310,,
peanut butter,5.0,1,25.0,4.6,3515,4.7,3372,4.6,29
pecans,5.0,6,16.0,4.8,2475,4.7,4987,4.4,15
pedialyte,51.0,5,33.0,4.6,847,4.8,3389,4.6,816
pedicure kit,11.0,5,,4.8,939,4.7,119,,
pen holder,2.0,3,,4.8,2421,4.5,2141,,
pencil box,3.0,2,5.0,4.2,993,4.7,367,4.6,122
pencil case,33.0,2,,4.3,14,4.7,10892,,
pencil christmas tree,38.0,1,3.0,4.1,114,4.5,7273,4.6,87
pencil holder,9.0,1,,4.8,2421,4.7,706,,
pencil pouch,40.0,3,,4.3,14,4.7,993,,
pencils,1.0,5,,4.8,32603,4.9,31175,,
peppa pig,23.0,2,39.0,4.8,1831,4.6,1640,4.8,57
pepperidge farm cookies,34.0,1,3.0,4.3,247,4.7,14566,4.3,26
peroxide,4.0,2,6.0,4.8,1187,4.8,4630,4.8,189
personalized gifts for men,13.0,1,40.0,4.3,1031,4.6,181,4.8,3316
personalized gifts for women,1.0,3,,4.4,197,4.8,39,,
pf changs,13.0,1,19.0,4.5,2,4.8,617,4.6,45
pf changs sauces,40.0,1,2.0,4.5,820,4.0,23,4.6,45
pfaltzgraff,40.0,2,8.0,4.7,10960,4.7,490,4.6,192
phone car holder,8.0,3,24.0,4.5,100,4.3,2625,5.0,4
phone case iphone 11,1.0,4,5.0,4.6,63,4.7,1071,,
phone sanitizer,7.0,3,,4.1,738,4.2,2017,,
photo album,50.0,5,,4.4,170,4.6,12987,,
photo albums for 4x6,29.0,5,12.0,4.4,160,4.8,282,4.7,324
photo frames,9.0,2,52.0,4.7,2551,4.6,13380,4.2,898
pijamas navideñas familiares,,1,2.0,,,3.9,228,4.3,21
pillow,24.0,5,8.0,4.4,14317,4.5,72734,4.5,2469
pillow covers,10.0,2,,4.2,1717,4.7,11308,,
pillows,14.0,5,42.0,4.4,14318,4.5,72732,4.4,4075
pillows for sleeping,37.0,5,8.0,4.4,14317,4.5,72735,4.5,3060
pinto beans,3.0,2,5.0,4.7,315,4.7,374,4.6,31
pistachios,7.0,5,30.0,4.7,1285,4.7,10554,4.7,164
pixel 5 case,17.0,5,,4.6,135769,4.7,153,,
pj mask,17.0,2,,4.8,1922,4.6,669,,
pj masks,5.0,2,39.0,4.8,1922,4.9,158,4.4,2052
pj masks toys,2.0,1,,4.8,1922,4.8,522,,
pj masks toys for boys,3.0,2,37.0,4.8,1922,4.6,1058,4.3,86
pj masks toys for girls,23.0,1,10.0,4.8,1922,4.6,1269,4.6,2340
pj pants,1.0,3,42.0,4.5,3475,4.2,7933,4.5,744
pj pants women,17.0,1,4.0,4.3,1530,4.1,10997,4.6,4483
pj sets for women,36.0,2,3.0,4.4,1151,4.3,1175,,
pjs,40.0,1,28.0,4.6,5698,4.5,3393,4.0,1
pjs for women,46.0,2,28.0,4.4,17200,4.5,2439,4.5,4832
pjs for women set,29.0,2,4.0,4.4,348,4.6,73,4.3,2371
pk mask toys,9.0,1,41.0,4.8,1922,4.8,886,4.6,2340
pkay-doh,3.0,1,7.0,4.9,10558,4.5,812,4.8,4414
planner stickers,15.0,3,28.0,4.7,5442,4.6,5227,4.7,1497
plant stand,12.0,2,9.0,4.5,940,4.8,32,4.6,1674
play doh,1.0,2,5.0,4.9,10558,4.8,8690,4.8,4414
play kitchen,10.0,2,9.0,4.8,82,4.7,1429,4.2,633
play mat for baby,24.0,2,36.0,4.8,8642,4.8,19401,4.6,66
play-doh,1.0,3,17.0,4.9,10558,4.8,8689,4.8,4414
playard,21.0,5,50.0,4.7,360,5.0,5,4.7,531
playdoh,2.0,3,6.0,4.9,10558,4.8,8689,4.8,4414
playmat baby,37.0,2,,4.8,8642,4.6,1442,,
playmobil,2.0,3,39.0,4.8,126,4.7,625,,
playpen,17.0,5,15.0,4.6,17649,4.2,218,4.0,15
playstation,5.0,1,13.0,4.9,519020,2.8,2,4.5,29
playstation 5 digital edition,5.0,1,7.0,3.3,26,4.8,2253,5.0,6
playstation gift card,6.0,2,10.0,4.9,519022,4.7,121124,4.6,1586
plus size swimsuits for women,56.0,3,34.0,4.4,1753,4.6,13610,4.4,444
plus size tops for women,28.0,2,3.0,4.4,12819,4.6,2942,4.4,399
pm 2.5 mask filters,8.0,5,49.0,4.7,532,4.7,1229,4.5,829
pm medicine,7.0,3,17.0,4.7,2582,4.8,4832,4.9,10
pm pain reliever,6.0,5,11.0,4.7,2582,4.6,2717,4.8,627
pm pills,7.0,2,,4.7,2582,4.7,172,,
pm sleep aid,8.0,3,40.0,4.7,2582,4.8,4832,4.8,627
pm sleep aid pain relief,9.0,5,21.0,4.7,2582,4.6,2717,4.0,23
pm2.5 filter,36.0,5,20.0,4.6,385,4.7,10269,4.6,141
pm2.5 filters for reusable face mask,45.0,5,50.0,4.6,385,4.7,522,4.5,829
pm2.5 mask filters,39.0,5,,4.6,138,4.6,114,,
pneumatic tools,5.0,2,23.0,4.6,21,4.6,2175,4.6,671
pnw,24.0,2,4.0,4.4,202,4.8,462,4.8,19
pocket folders,9.0,5,,4.8,2041,4.7,2961,,
pokemon cards,14.0,2,10.0,4.9,519020,4.5,1407,4.8,148
polly pocket,30.0,1,11.0,4.7,9160,4.7,1287,4.8,533
polo shirts for men,1.0,4,,4.3,19082,4.4,13703,,
pool basketball hoop,37.0,5,8.0,4.8,20361,4.9,1458,4.6,179
popcorn,27.0,2,8.0,4.6,580,4.7,31315,4.8,311
popcorn kernels,3.0,2,13.0,4.5,317,4.7,31317,4.6,8049
popsocket,1.0,2,16.0,5.0,1,4.7,10715,5.0,11
portable charger,,3,3.0,,,4.7,42076,4.7,42076
post it notes,17.0,5,,4.7,27421,4.8,970,,
potato chips,5.0,6,20.0,4.5,1446,4.6,5678,4.8,181
potatoes,1.0,3,24.0,,,,,4.5,29
pots and pans,1.0,4,4.0,4.5,21648,4.6,4233,4.6,4233
pots and pans set,1.0,5,5.0,4.5,21648,4.6,4233,4.6,4233
potty training seat,14.0,4,,4.4,7171,4.4,9681,,
pound puppies,2.0,3,7.0,4.9,4030,4.8,995,3.6,9
power ranger toys,2.0,3,25.0,4.7,1135,4.6,766,4.7,1195
power rangers,20.0,2,,4.7,1135,4.4,3104,,
power strip,1.0,3,,4.8,2369,4.8,42769,,
powersports face masks,,2,40.0,,,4.4,30809,,
ppc international plants,10.0,1,2.0,4.2,12597,4.2,275,4.2,2754
ppe face mask,1.0,5,23.0,4.1,8643,4.6,3038,4.5,4161
ppe kit,1.0,5,5.0,4.7,983,5.0,2,5.0,2
ppe masks disposable,29.0,5,20.0,4.6,665,4.6,3038,4.6,394
ppepersonal protective equipment,,2,3.0,,,4.6,13986,4.5,589
ppm meter,1.0,3,3.0,4.3,482,4.5,2682,4.5,2682
pressure washer,7.0,3,5.0,4.2,1290,4.5,28598,4.8,171
pretzels,3.0,4,44.0,4.5,1675,4.7,7889,4.9,884
printer paper,1.0,3,27.0,4.8,37982,4.8,74669,4.7,742
printer paper 8.5 x 11 white,1.0,3,36.0,4.8,37982,4.8,74669,5.0,6
printer paper 8.5x11,1.0,5,25.0,4.8,37982,4.8,74669,5.0,2
printer stand,37.0,2,20.0,4.5,183,4.6,410,4.5,275
progresso soup,6.0,3,3.0,4.3,1073,4.6,183,4.6,183
protecciã³n solar interior,12.0,1,8.0,4.3,38,5.0,1,,
protractor,54.0,5,53.0,4.4,38,4.3,1372,4.6,1313
ps4,6.0,2,,4.8,2871,4.8,3659,,
ps5,5.0,1,,4.6,10093,3.5,53,,
ps5 console,5.0,1,3.0,3.3,26,4.2,58,4.0,23
ps5 digital edition,5.0,1,6.0,3.3,26,4.8,2253,5.0,6
pterodactyl jurassic world,33.0,5,7.0,4.8,1258,,,4.7,287
ptz camera,1.0,3,,3.9,363,4.4,81,,
ptz security camera outdoor,20.0,3,,4.1,262,4.1,627,,
puffs tissues,26.0,1,4.0,4.6,6008,4.8,10714,4.7,131
pull ups,29.0,5,44.0,4.3,34,4.7,26,4.1,60
pull ups 4t-5t,36.0,5,31.0,4.3,29,4.8,8467,4.8,254
pumpkin seeds,26.0,5,31.0,4.2,29,4.7,6412,4.3,506
puppy pads,1.0,5,,4.6,1534,4.5,28440,,
pure balance dog food,17.0,5,5.0,4.5,519,4.4,102,4.4,102
push pins,1.0,5,,4.7,2917,4.8,535,,
puzzle mat,45.0,5,,4.6,6647,4.3,1522,,
pva glue,22.0,2,7.0,4.8,3874,4.8,1066,4.7,1438
pvc,34.0,1,3.0,,,4.5,26,3.8,11
pvc cutter,24.0,2,12.0,,,4.5,851,4.1,29
pvc pipe cutter,20.0,1,10.0,,,4.5,1095,3.9,561
pvc pipe cutters,34.0,2,12.0,,,4.5,1095,3.9,561
pw patrol dino,23.0,1,9.0,4.8,2199,4.7,2374,4.5,27
pw patrol toys,10.0,1,45.0,4.7,2006,4.6,534,4.7,5314
px7,,3,21.0,,,4.3,1203,4.4,183
pxc 550-ii wireless,8.0,3,,5.0,2,4.3,5443,,
pxg putter,4.0,1,7.0,4.2,63,4.5,76,5.0,6
pyrex,17.0,1,8.0,4.5,10513,4.7,6711,4.8,238
pyrex glass storage containers with lids,26.0,2,5.0,4.5,10512,4.7,6711,4.7,138
pz19 carburetor,21.0,5,27.0,4.5,5,4.5,571,4.6,7
pz20 carburetor,52.0,5,13.0,,,4.4,4384,4.0,3
q tips,9.0,5,5.0,4.7,7334,4.8,12279,4.8,12279
qai qai doll,1.0,2,21.0,4.8,911,4.6,665,4.6,3
qb training equipment,7.0,2,17.0,4.7,3166,4.8,1239,4.2,104
qbits game,24.0,1,3.0,4.8,4686,4.8,1699,4.8,287
qbitz jr,4.0,2,2.0,4.7,2494,4.8,287,4.8,287
qck mouse pad,10.0,2,25.0,4.6,21978,4.7,23721,4.7,479
qd electronic cleaner,41.0,2,4.0,4.5,695,4.7,4634,,
qd end plate,38.0,1,2.0,4.4,130,4.3,150,4.2,13
qd sling,26.0,5,45.0,4.6,233,3.8,67,4.3,24
qd sling mount,56.0,5,6.0,4.4,130,4.8,2865,4.8,470
qd sling swivel,46.0,5,47.0,4.6,233,4.8,2865,4.8,150
qd sling swivels,47.0,5,,4.4,130,4.8,2865,,
qd swivel,24.0,5,,4.6,233,4.8,2866,,
qdoba gift card,1.0,2,,4.9,519020,4.9,1555,,
qfitt,40.0,1,11.0,4.3,338,4.8,217,4.3,6
qfx bluetooth speaker,17.0,1,25.0,4.1,36,4.4,268,4.5,96
qhyah,8.0,1,15.0,4.0,878,5.0,1,,
qi certified wireless charging pad,2.0,1,,4.5,106,4.3,89089,,
qi charging pad,1.0,3,,4.5,106,4.0,6958,,
qia oatmeal,28.0,2,5.0,4.8,1732,4.6,142,4.5,74
qjbmei,45.0,1,7.0,4.7,849,4.2,6,2.4,4
qkk mini projector,20.0,3,,3.8,68,4.5,8708,,
qled 4k tv,7.0,3,21.0,4.7,27934,4.6,3098,4.6,1610
qled smart tv,1.0,3,,4.7,27936,4.6,2067,,
qman,17.0,1,22.0,,,,,5.0,3
qman building blocks,10.0,2,5.0,,,4.5,99,4.3,11
qmdecor,35.0,1,2.0,4.6,14,4.3,7,4.9,31
qmx figure,31.0,1,5.0,4.8,269,5.0,1,5.0,30
qor balance,40.0,5,,4.6,16224,,,,
qposkets,,1,3.0,,,4.3,104,3.9,5
qposkets disney,35.0,1,4.0,4.7,940,4.9,23,3.9,5
qqbed,14.0,2,3.0,4.0,106,4.4,65,4.2,265
qqcute,40.0,4,,4.2,2368,3.6,1776,,
qr code labels,24.0,5,29.0,4.3,32,4.7,904,4.7,183
qr code printer,20.0,2,6.0,4.3,32,4.4,3755,2.3,4
qr code stickers,7.0,5,19.0,4.3,32,4.7,904,,
